Meta tags,Name,Description,Category,Price,Image
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.17', 'LocalName is TP407']","Kirkland Signature Extra Fancy Mixed Nuts, 2.5 lbs","""

Limit 10 per member.


One 2.5 lb Jar of Mixed Nuts
Extra Fancy Grade
Kirkland Signature™ quality 
Includes: Almonds, Brazil Nuts, Cashews, Macadamia Nuts, Pecans


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",29.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=321063-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Kirkland Signature Extra Fancy Mixed Nuts, Unsalted, 40 oz","""

Extra Fancy Mixed Nuts
Unsalted
Contains: cashews, almonds, pistachios, pecans
Kosher
40 oz resealable pouch


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",18.69,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1652577-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Kirkland Signature In-Shell Pistachios, 3 lbs","""

48 oz.
California Pistachios 
In-shell, naturally opened 


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",--,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=545345-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Hoody's Roasted In-Shell Peanuts, 5 lbs","""

5 lbs


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",29.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=4007-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Kirkland Signature Extra Fancy Mixed Nuts, Salted, 40 oz","""

Extra Fancy Mixed Nuts
Salted
Contains: cashews, almonds, pecans, Brazil nuts, macadamia nuts
Kosher
40 oz resealable pouch


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",--,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1645578-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.28', 'LocalName is TP418']","Kirkland Signature Fancy Whole Cashews, Unsalted, 40 oz","""

Fancy Whole Unsalted Cashews
Kosher
40 oz resealable pouch


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",16.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1617507-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Kirkland Signature Fancy Whole Cashews, 40 oz","""

Limit 10 per member.


40 oz
Fancy Whole Cashews with Sea Salt
Kirkland Signature


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",17.49,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1390413-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.23', 'LocalName is TP413']","Kirkland Signature Walnut Halves, 3 lbs","""

3 lb Bag
US #1 Grade Walnuts
20% Halves with Pieces
Great by themselves
Add to an entrée, baked goods, and salads
Delicious heart-healthy addition to any meal


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",11.49,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=36285-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Kirkland Signature Supreme Whole Almonds, 3 lbs","""

3 lb bag
Supreme whole almonds
Steam pasteurized
US #1 


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",12.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=284601-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.21', 'LocalName is TP411']","Almonds, 5 lbs","""
						  
								  	Almonds
Refrigerate after opening for optimum freshness
5 lb bag


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",17.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1495140-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.16', 'LocalName is TP406']","Hoody's Roasted In-Shell Peanuts, Salted, 80 oz.","""

80 oz. 


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",8.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=4106-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Sliced Almonds, 5 lbs","""

Sliced Almonds
5 lb bag
Refrigerate after opening for optimum freshness


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",--,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1495072-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.28', 'LocalName is TP418']","Hampton Farms In-Shell Roasted Peanuts, Salted, 5 lbs","""

In-Shell Roasted Peanuts
Salted
Packed with protein
Gluten free
Cholesterol free
5 lbs


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",7.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=144758-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Kirkland Signature Butter Toffee Cashews, 24 oz","""



Butter toffee flavored cashews


Kosher


24 oz resealable pouch




""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",10.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1510336-847&recipeName=680
